time,open,high,low,close,green,red,sell,buy
2023-01-25 02:45:00,160.55,160.679,160.503,160.629,49.28539091397687,66.787489247366,False,True
2023-01-25 05:45:00,160.762,160.916,160.762,160.856,82.32179101193145,70.66979137275557,True,False
2023-01-25 08:00:00,160.721,160.764,160.675,160.719,23.963256404061287,36.271402447445624,False,True
2023-01-25 10:00:00,160.647,160.802,160.531,160.597,33.414149443563225,28.163706587293508,True,False
2023-01-25 10:45:00,160.486,160.543,160.339,160.401,9.659721339943252,20.63820776691137,False,True
2023-01-25 17:00:00,160.264,160.385,160.161,160.267,87.12517619974243,60.72848514087925,True,False
2023-01-25 18:30:00,160.368,160.446,160.324,160.395,85.80526315789673,73.71250238847979,True,False
2023-01-25 20:15:00,160.465,160.471,160.405,160.431,71.3445249137949,83.168447803193,False,True
2023-01-25 21:15:00,160.636,160.726,160.629,160.684,81.46417445483155,76.26978232870736,True,False
2023-01-25 22:00:00,160.607,160.677,160.562,160.675,68.02384486699201,75.56543696614956,False,True
2023-01-25 23:00:00,160.655,160.678,160.596,160.641,66.62746521475458,61.5936711966973,True,False
2023-01-26 00:15:00,160.632,160.632,160.526,160.532,34.92546256842974,55.40233224717543,False,True
2023-01-26 02:15:00,160.373,160.47,160.322,160.388,14.004420990367871,17.8516546318367,False,True
2023-01-26 05:15:00,160.34,160.359,160.279,160.297,32.13402592010147,59.11288879839568,False,True
2023-01-26 06:45:00,160.207,160.344,160.201,160.251,45.65217391304069,25.065171158013158,True,False
2023-01-26 10:45:00,160.822,160.889,160.723,160.87,57.887323943662864,71.78627319472373,False,True
2023-01-26 12:00:00,160.936,161.014,160.813,160.828,63.74393540980146,53.577831952271644,True,False
2023-01-26 12:45:00,160.837,160.844,160.658,160.739,46.045808124459334,56.461551885618064,False,True
2023-01-26 13:30:00,160.877,161.034,160.868,160.952,72.7297372677496,58.42035473820914,True,False
2023-01-26 14:30:00,160.834,160.94,160.783,160.792,32.17412191736995,51.03977774193941,False,True
2023-01-26 15:30:00,161.296,161.296,160.721,161.053,40.1410934744249,29.837171361406785,True,False
2023-01-26 19:30:00,161.222,161.28,161.181,161.221,53.16906805640944,64.1477036689752,False,True
2023-01-26 20:15:00,161.288,161.366,161.255,161.316,68.64155747876383,57.77541025844145,True,False
2023-01-26 23:30:00,161.652,161.692,161.617,161.67,59.49936737979476,77.4961591973459,False,True
2023-01-27 01:30:00,161.349,161.374,160.969,161.076,41.67286987417712,49.73463550938592,False,True
2023-01-27 02:30:00,161.233,161.266,161.094,161.133,42.81148598609067,37.39974702937735,True,False
2023-01-27 03:15:00,160.951,160.99,160.892,160.927,41.85049019607757,43.11632836823524,False,True
2023-01-27 06:30:00,161.098,161.099,160.951,161.012,74.45856297203777,75.36644389740121,False,True
2023-01-27 12:45:00,160.666,160.676,160.603,160.643,53.50686542739415,42.066995920235215,True,False
2023-01-27 15:30:00,160.573,160.636,160.445,160.487,30.06888847514529,36.69333639314911,False,True
2023-01-27 16:30:00,160.475,160.753,160.436,160.751,58.976733143405546,35.9714960606268,True,False
2023-01-27 17:30:00,160.755,160.815,160.531,160.569,56.86375123580916,73.96645556705506,False,True
2023-01-27 18:30:00,160.852,160.905,160.776,160.826,79.9259254756043,61.90684650751624,True,False
2023-01-27 21:15:00,160.942,161.043,160.942,161.031,75.42375661122338,66.01542604087724,True,False
2023-01-27 22:15:00,160.959,160.991,160.929,160.975,48.78362573098823,62.5436143469862,False,True
2023-01-30 01:00:00,160.813,160.95,160.776,160.907,65.87653827912517,55.635822038059246,True,False
2023-01-30 04:15:00,161.189,161.264,161.158,161.24,47.10075233850612,65.02666027311831,False,True
2023-01-30 05:15:00,161.199,161.258,161.187,161.187,37.74166281125576,26.049724808902003,True,False
2023-01-30 06:00:00,160.958,160.986,160.288,160.305,13.811705667377147,31.23945618728442,False,True
2023-01-30 06:45:00,160.527,160.699,160.509,160.591,29.779799961134284,18.437549187903862,True,False
2023-01-30 08:15:00,160.534,160.553,160.455,160.492,35.15325670498145,60.88562846436363,False,True
2023-01-30 09:45:00,160.436,160.508,160.373,160.411,38.80837359098343,26.290104741513925,True,False
2023-01-30 11:00:00,160.975,161.114,160.931,160.983,82.83279661027723,85.7913074795468,False,True
2023-01-30 12:15:00,161.083,161.346,161.061,161.339,74.19885045880652,71.70585743753348,True,False
2023-01-30 13:00:00,161.162,161.274,161.134,161.259,63.29958755155517,71.53794626466602,False,True
2023-01-30 14:00:00,161.208,161.213,161.103,161.182,51.40414417715194,58.68412404775463,False,True
2023-01-30 15:45:00,161.055,161.058,160.951,161.029,25.86561782214883,30.423317178619016,False,True
2023-01-30 16:15:00,161.072,161.214,161.047,161.139,46.90909090909346,33.48765217427047,True,False
2023-01-30 17:15:00,161.173,161.211,161.109,161.151,48.46847485630564,63.57013967736335,False,True
2023-01-30 19:00:00,161.264,161.306,161.196,161.218,43.406463788631214,56.29472359833607,False,True
2023-01-30 21:45:00,161.142,161.18,161.072,161.18,63.13211475507933,36.87272126707705,True,False
2023-01-30 22:45:00,161.152,161.156,161.078,161.097,48.75905760061206,62.399450305766386,False,True
2023-01-31 01:30:00,161.054,161.19,161.043,161.133,68.88013621759931,57.605118509831186,True,False
2023-01-31 04:30:00,160.81,160.85,160.743,160.825,30.2020437868447,31.081206729443966,False,True
2023-01-31 05:00:00,160.885,160.958,160.838,160.935,54.21248851786544,38.87673296992586,True,False
2023-01-31 05:45:00,160.739,160.767,160.719,160.76,27.318188879278296,47.03914007890088,False,True
2023-01-31 06:30:00,160.812,160.834,160.761,160.824,46.5320144797239,29.540148286755123,True,False
2023-01-31 07:45:00,160.691,160.711,160.604,160.623,32.98157198763844,51.308631816542764,False,True
2023-01-31 10:00:00,160.717,160.783,160.402,160.467,38.739106753815214,55.21159703797186,False,True
2023-01-31 13:45:00,160.608,160.762,160.564,160.762,58.46111504286034,39.05076954971389,True,False
2023-01-31 14:45:00,160.613,160.617,160.423,160.448,35.14538981483234,55.92880826893079,False,True
2023-01-31 16:30:00,159.935,160.017,159.887,159.947,10.874032760070156,12.805224337389598,False,True
2023-01-31 19:45:00,160.516,160.523,160.454,160.469,81.45290699007175,87.60779178735244,False,True
2023-01-31 21:15:00,160.517,160.553,160.499,160.537,75.70158545595122,52.922650942526,True,False
2023-01-31 22:00:00,160.398,160.416,160.322,160.334,14.140623455690367,40.62602035204646,False,True
2023-01-31 22:45:00,160.389,160.468,160.374,160.425,42.27330372204225,26.76467220019312,True,False
2023-01-31 23:45:00,160.263,160.289,160.225,160.272,13.975294228055793,28.787627450313792,False,True
2023-02-01 03:15:00,159.972,160.048,159.947,160.037,33.93655380207778,27.252261679966846,True,False
2023-02-01 06:30:00,160.257,160.388,160.257,160.366,91.99454409826497,80.3876842936206,True,False
